text,label
gimana pinjem saldo,positive
bantu transaksi uang,positive
dana masuk buat susah isi,negative
mantap betulll,positive
beres lemotx,neutral
sngtt puas,positive
mengaco banyak verifikasi verifakasi enggak usah ulang ulang kecewa,negative
anehvertipikasi masuk masuk hubung dibales balessaya saran uninstal nghabisin kuota,negative
ok langsung,positive
bagus bos,positive
paylater tidak muncul ya,negative
rbjjtjhh pp uun,neutral
kesini kadang akun memasuki ulang gimnaa tolong baik,positive
butik pulih akun ribetnya ampun banget saldo potong tidak bisa ambil,negative
baik,positive
kecewa saya unduh aplikasi gilir saya transaksi beku karena saya salah,negative
aplikasih jelek,negative
menempel bbm enak qris,negative
pakai nyaman aman,positive
kenapa aplikasi enenggakk bisa pakai transaksi padahal saldosaya daftar premiunsaya daftar penuh syarat nya tapi enenggakk hasil mohon bantu terima kasiih,positive
gagal sudah coba pakai seluler wifi,negative
kecewa sistim danauwang kuras maling lazada tarik uwang isi maling tampa mengurus uwang lapor bukti lengkap uwang ganti omong,negative
rumit fitur lupa pin daritadi kendala enggak jelasbuat susah buat,negative
maling saldo saldo dikit ambil,negative
aman simpan,negative
buruk udaa sedot saldo gasampai sampai pulsanyaa,negative
gege,neutral
ewallet,neutral
suka mudah terima kasih,positive
membantusabelum paylater,neutral
kalau juta,positive
satidak investasi emas buka putih,negative
mantap transfer nyaman efisien tingkat,positive
admin saldo,positive
saya buka lemot terus didlm juta buka terus kalau saya ulang sama saja cepat diperbaikin,negative
pokok mahy,neutral
sihmakin kesini lemot jaring ajabukannya malah kacau,negative
benerin menyusahkan,negative
saakun nomer ponsel hilang situ saldo bantu atas buat rumit bantu aktif gun akun tersebut,negative
buka aplicasi,neutral
bagussangat manfaat ntuk urus bayar,positive
bagyus,neutral
memori gede lemot,negative
bagus aman mantap,positive
bahus,neutral
layan pemrosesan saldo bisnis,positive
tidak masuk alas akun,negative
suka banget pakai biaya admin potong,neutral
memang aplikasi ampas gila saldo juta hilang aman banget buat lapor respon sampai,negative
unduh aplikasi tersebut kenapa buka,negative
okay,positive
bagus transaksi kecewa,positive
blokir salah menunggu,negative
lupa akun ku enggak bisa bk lagi,negative
krim pulsa jamtlg baik,neutral
saldo kurang tolong baik kembali saldo tibatiba kurang,negative
beli pulsa masuk,negative
kecewa akun beku,neutral
minn saldo ku kan kan isi pulsakalau saldo jadi cerita itu,negative
mantapsangat bantu,negative
masuk transaksi hasil transaksi hasil saldo tidak namabah uang mana lapor alasananya maaf lapor antri minggu antri btw kasih bintang biar lihat bagus bilang korup saran tidak unduh buat rugi,positive
proses kirim pulsa,neutral
anjay busek malam malam dik cees ungu permai bekas timur bekas selatan bogor barat bogor barat cengkareng cilandak barat depok duren sawit jakarta timur bekas timur bekas jawa barat bogor terimakasih,neutral
saldo hilang saldo pas buka akun masuk nomor telepon masuk masuk saldo hilang cek transaksi ambil saldo tarik tunai alfamart tingkat aman lemah,positive
sistem sibuk terus plerrr,negative
tolong akun,negative
bayar gagaldan sinyal bagus lengkap semuasaldo cukupdan perangkat prosesor ramrom itu berattolong perbaikimasih,negative
lemot susah buka kadang kadang,negative
terimakasih sukses,positive
puas bagus mudah transaksi apa,positive
mantap pakai aplikasi gampang digunakn,positive
enggak jelas sulit,negative
mencoba,neutral
tolong buatjujur maling saya sudah tidak sampai uang kemana walaupun tidak tolong pertanggungjawaban sudah bagaimana kemana kd hilang ribu ribu bagus gila aplkasi kayak nf hilang ribu,negative
bagus jadi hilang transfer,negative
kesini malah kendala saldo ngkk masuk padahal nomer,positive
ok bqnget,positive
tidak lemot lemot bagus,negative
mantap puas,positive
lemotsama servis layan konsumen dengan,positive
suka mudah transaksi tuju,positive
kelas,neutral
wtf saldo bisa hilang pakai begitu kacau jadi kayak begini,negative
maksud saya paham,negative
bapuk daftar nyangkut,negative
mantap bagus,positive
kecewa isi ulang pulsa telkomsel masuk masuk memenunggu aman aman salah memenunggu menit isi ulang masuk masuk pulsa kecewa kecewa,negative
gimana apdet tapi gliran memasuki ktp selpi wajah beda tolol anggak beda poto wajahsekarang mah coba pikir dong buat emosi kirim,negative
upgrede biar busa kirim karena ktp foto rusak enggak gagal coba pakai sim sim selfi lanjut enggak kok mohon,negative
puas akun pokok,positive
isi saldo etol,negative
susah daftar foto ukur mosok,positive
bagus jajan,negative
padahal masuk masuk latolong tanggung,negative
thr,neutral
enggak jelas buat pusing pakai nal pas telepon cs nomor tinggal cantum nomor telepon pribadi transaksi cs ribet enggak jelas balikin butuh uang tanggal sekarang masuk uang laknattullah respon keluh gmail jengkel,negative
tapi saldo masuk mana,positive
woi anjg buka tinggal proses tidak masuk anjg,negative
plis wajib bangetroblox langsung cepat,negative
suruh tidak,negative
biar bintangbicara,negative
mengunakan kartu barutapi daftar daftar,negative
mudah transaksi bagus,positive
tolol anjg nyedot saldo padahal saya tidak bayar,negative
respon cs aduh busuk isi saldo elektronik banyak banding positif,negative
manfaat mudah bayar,positive
ngrepotin hilang uang sudha uninstalll install tetap hilang,positive
bantu situasi apa,negative
bantu kirim rumah lagi transfer ribet,negative
memuaskann,neutral
oky manfaat,positive
layan,neutral
hancurmau persulitdr pagi sampai baik tidak uninstal kayak,negative
bagus sifat mudah,positive
jelek,negative
resah tahun ganti handphone handphone rusak karena aktif ktivis wajah gagal dahulu saya buka pakai wajah saja padahal baru isi saldo tapi dgituin gmail tanggpan,negative
csnya payah hilang saldo beli kenal bantu cek transaksi cs nyuruh hubung google riwayat google transaksi google temu transaksi bilang perihal cs cs suruh hubung google payah,positive
semenjak ganti akun eror mulucontohnya diskon tidak bisagunain diskon tidak bisaapa akun lu hasil,negative
akun indak terang akun ganti ketik taut tidak pernahdijual otp ngeri lenyak seketikakomplain respon buruk,negative
lapor beku akun lagisudah bulansampai kembali hubung cssudah puluh hubung cs responmakin jelek nyaman persulitmohon proses lapor cs ngapainkenapa respon,positive
tidak dapat kode pas masuk nomor ponselnya,negative
kenapa kirim teman bayar tolak karena alas aman menghubingi,negative
transaksi oaylater tidak bisa muncul,negative
mantap jiway,positive
unduh dm ff,neutral
ok mantaps tahan amanah,positive
mntapp,neutral
bantu bisnis,positive
kesini lemot tolong admin lancar tidak klik transfer,negative
tolong bantu,negative
bintang kemarin hhabis isi saldo masuk kesini mana,negative
untung,positive
transaksi biaya admin mahal,positive
layan buruk sekalimau daftar masuk pindaftar pinkonsultasi admin sampai minggu tidak tanggapadminmintanama ktpvideo wajahitu layan sampai tidak bida daftarparahhhhhhhh,negative
tetap simpan belum alami hilang banyak saya hilang uang banyak sayaaratmasuk akal,negative
murah tidak saya kendala hadap tidak menyambung,negative
kenapa gl saya,negative
coba tolong dperbaiki lagi jangan sampai lemot,negative
lega,neutral
kecewa mengguanakan apliaksi kirim kode qirs setatus transaksi hasil terima terima tolong bantu tanggal,positive
coba kalau jalan dengan bagus tambah lagi,negative
semoga bagus lagiy,negative
terbantumakasih dana,neutral
manfaat bagus,positive
transfer kena biaya admin sekarang kena kasih bintang,negative
bagus lancarrr,negative
kecewa biaya sisa sisa rusak tarik tunai,negative
bagus cepat praktis,positive
suka aplikasih kendala paa beli kenapa suruh pas tidak komentar tanda ntuk meme riksa ponsel ponsel simpan mohon jelas,negative
mohon bantu pakibu barusan rekening saldo atm tidak tambah saldo kurang kecewa banget mohon bantu makan,negative
bagus manfaat,positive
tolong diperbaikin lagiagar langgan penguna kecewa,neutral
ajg masuk tidak kesel uinstall install ulang masih begitu tidak transaksi gila memang benerin sistem jangan ampas,negative
tolong cepat respon gmailnya sudah ganti nomor hhilang respon lguang saya nyangkut tidak bisa buka hhilang verifikasi wajah detek benar,negative
saldo hilang transaksi langgan apa mana saldo hilang laporin minggu kabar ganti kasih bintang rawan retas retas sengaja disalahgunakan hatihati saldo tabung saldo hilang transaksi,negative
favorit rekening harus cuman jaif lemot banget lohin ulang ampun menguninstal alih gopayovoflip terimakasih jasa,negative
mantap jiwa mudah situasi transaksi amanah lindung saldo,positive
akun buka kena solusi,neutral
kacau balau saldo kuras hhabis transaksi lazada transaksi lazada,positive
kirim susahayo turun performa,neutral
buat akun tidak,negative
mudah bayar,positive
sial tibatiba notifikasi gagal ulang enggak alhasil lanipu,negative
bantu kalang masyarakat indonesia,negative
eenggak pengaruh lemot transaksi eenggak transaksi kirim menerima,positive
kenapa tidak bisa install sudah coba tidak bisa,negative
amapas padahal sudah upgred sudah isi saldo transfer gagal terus,negative
hilang dasar maling,negative
transaksi muncul sistem sibukkalo lancar kasih bintang,positive
ambil alas kasir bilang saya butuh,negative
jaring,positive
pas daftar pakai nomor uang tolong baik hilang begitu,neutral
buka handphone doblowad,neutral
gagal unduh gagal,negative
kenapa sedot gogle hhabis berapa rarus ter kuras gogle mohon cerah,neutral
hapus hilang mana buat lapor respon banget,positive
saldo hhhilangtransfer terus sisa gapercaya banget aduh rugi banget mah rugi usaha terus hhhilang banget pakai benar teman pakai bahaya saldo hhhilang,negative
saldo hilang tidak mana,negative
kenapa susah logib upgrad,negative
alhamdulillah efisien hemat ribet,positive
saldo terang hasil saldo tidak tambah sudah komplain sampai bulan tidak respontunggu terus tidak batas payah,negative
jamin nomor beku tidak,negative
saldo baru,positive
pas masuk lang ngelak,positive
bantu transaksi keuanganm,positive
cepat kalau transfer,negative
unduh lagi sblom trlambat ketika tidak sdang transferggal masuk setelah tidak saldo brtambah hilang rekening kirim juga tidak pokok kecewa,negative
dafa,neutral
salah salah sistem silah coba,negative
mayanlah,neutral
mantap mudah butuh,positive
saldo sudah potong pruduk tolong bagaimana,negative
mohon baik sistem salah ban permanen dar isen akun baik,negative
pas tari alfamart gagal,neutral
mudah praktis alat bayar,positive
kena biayasaya kecewa tolong baik,negative
bermanfaaty,neutral
bantu tahan,negative
tidak uang hilang tidak,negative
lemot iya salah sandikode,negative
cepat nyaman,positive
mantap banget tahan bos,positive
puassa,neutral
kode verifikasi keluarcoba akun laahh maksud abad menunggu,negative
anehga,neutral
miskin daftar ribet kaya dptar blt,negative
susah hubung cz,negative
recomended amanah percaya,positive
sulit akses salah,negative
haha tidak main kalau saldo banyak apalagisuka transaksi jangan pakai saldo sudah minggu tidak tidak ana tolol,negative
castamer lambat respon tetap nyuruh,positive
rusak,negative
mahal harga pulsa paket installl installl deh menyesal,positive
mantap mah isi ulang gratisy,positive
mantuuul,neutral
saldo hilang pasnangganin pas tidak kalau bilangmohon respon,negative
lumayan membantusaya kasih,neutral
tambahkan,neutral
bos,positive
sulit sekali upgradnyahdipersulithistoryriwayattetep ssajaa tidak upgrademending hapus saja aplikasinyah,negative
tindak lanjut keluh lapor nasabah,positive
aplikasi tidak buka,negative
mantap semoga lancar,positive
sebel verifikasi verifikasi ajt,negative
sayah suka,positive
sayaa hubung tapi saldo saya tolong allah capek bgtttynyuruh terus pengin gedik,negative
bayar google temu pembayan google,neutral
bantu admin trusmakasih,negative
gelap saldo tidak masuk,negative
berani transaksi gede pakai semenjak tahan,positive
alas ktp rusak,negative
usaha apa sulit,negative
oke banget deh,positive
wawwwblm buka,neutral
saran jangan pakai tidak bagus kenapa tidak bagus potong kalau lupa proses terlau ribet foto ktp handphone imel unggah vidio proses laku menunggu hari tapi hasil sudah begitu mas kasihh alas akuntaut dengan akun memang akuntaut dengan akun kalau tidak jangan harap kasihh,negative
kadang,positive
jalan bedatapi tuju,negative
proses cepat bantu,neutral
ewrehzz ag,neutral
beku tolong bantu,negative
kasih bintang karena coba pas lihat ulas kasih bintang enggakk tau bagus enggak sesemoga ngehasilin larang orang tua sesemoga dapat amin,negative
beli listrik gagal saldo kembali bulanlistrik mohon perhati,negative
daftar upgade sulit gagal gagal,negative
cakep gd kendala,positive
suka telat saldo transfer,negative
tolong koneksi baik,negative
mantap muda,positive
kacau becus awaldoang aman,negative
lancar praktis terima kasih dana sukses,positive
waktu biaya transaksi rp mantull,positive
kemarin sistem errory,negative
cuy kesini tidak bisa bayar dll saldo makan situ,negative
baguskirim gampang membantumakasi,positive
cacat goblok,negative
ngapa anjeng,negative
tidak waras kalau mengasih pinjam menolongma tidak banyak ribet kasihh kasihh jangan sudah capek ngedonlod isi polmulir terima kgk dasar tahi,negative
akun tolong bantu trimakasi,negative
tidak syarat asli tanpa apa,negative
cs sengaja tidak kerja kasih ktp rusak tidak balas sistem otomatis pegawai makan gaji buta bishabisanya sistem bobrok,negative
terima kasih mudah tidak pakai ribet,negative
puas tapi kadang lambat,positive
akun beku buka akun susah ampun sudah tfon cs sudah mengirim gmail tanggap bayak konsumen kecewa,neutral
dalam hari harisaran tarik tunai bank mudah tari tunaitrimakasih,positive
terimakasih bantu,positive
hari unduh pas ngelengkapin ktpnomor akun kenal mohon bantu tindak butuh,negative
tukang maling proses banget aduh ampun,negative
kemarin enggak sebal ayo baik kualitas percaya,positive
saran simpan hilang tidak unduh ovo aman,negative
baru tidak sistem sibuk tidak bantu,negative
inti percaya mantull,positive
baru handphone saya,negative
kecewa banget sama sudahkenapa akun lemot juga,negative
hapus playstor benar pelayananya,negative
apksi tidak,negative
versi baru,neutral
kenapa tidak masuk sudah msukin handphone tetap tidak,negative
mantan,negative
babi danagk sekrngmkn gwuptde,negative
akun buka baru jadi buka,negative
buruk sumpah,negative
suruh tidak bisa ini,negative
indak bisah masuk,neutral
ribet,negative
uh vrsi trbaru tetap gbsa harus resah,negative
suka ganggu tolong baik,negative
kenapa banget akun pdlh salah pin,negative
tidak masuk sudah transfer lagi hangus gimana tidak banget kesini jelek sudah pakai,negative
handphone bissa syaa ulang nya,neutral
neng sekalibisa danajadi tidak,negative
buset saya tidak buka,negative
bagus baru tidak buka tolong baik,negative
buruk tidak tidak masuk,negative
mohon maafsaya mendownload versi terbarumemang padahal sudah lanjur isi,negative
tidak masuk akun kenapa,negative
tidak baik,negative
masuk pers baru tidak tan aduh,negative
mantaappp,neutral
kirim cepat dapat kirim,positive
mempuyai kendala nomordaftar akun aktif akun verivikasi aju hapus biar daftar ulang nomor trimakasih,negative
saya menyarankan pakai tidak guna,negative
mantabsss,neutral
mohon bantu kirim suruh hubung cosrumerm,negative
bagus mantap,positive
lemot banget kacau,negative
unduh tapi tidak unduh lagu,negative
cs telepon tefon detik hadeh,negative
makas,neutral
kasih bintang karena kode otp masuk mohon perbaikiy,negative
oi saya pas masuk maksud dowload sudah eror saya dowload eror,negative
selesain rewardkumpulkan lencana fitur membayarscam,negative
apaan pas pentig pentig eror,negative
potong mskipun kalau lumayan kena potong tambah atm lepas pakai mas sedia layan perban gratis tiss tiss,negative
bagus mudah transaksi saldo,positive
kacaumau gagal padahal ambil saldo hars memenerima kalau belum memenerima ambil aneh,negative
gooooddddd,neutral
bagus mmbantu,negative
dengan cepat beres aman kendali,neutral
muantapsssssssssss,neutral
kenapa prabayar prioritas potong perak transaksi maaf sblumnya karena begitu,negative
transaksi tapi paylater tidak,negative
mantab,neutral
cs nya butuh baik menbantutambah pikir masalah ribet tolong cs benerin menanggapimenangani cs email tidak slesai tidak tanggap lanjut miris,negative
susah tidak bisa buka dan,negative
lapor transaksi masuk balas kecewa lapor tindak balas,positive
gasss terus,neutral
istal,neutral
gacoor,neutral
gabener isi ulang sistem sibuk,negative
bagus lah kendala saya saya saya,negative
benar saldo semalem tidak lapor cs nyantumin bukti tetap tidak proses,negative
mudah pokok mantap,positive
tergoblog saldo kuras otomatis tuju begitu lazada lepas tangan aneh transaksi ludes saldo kuraspakai uninstall oernah menyimpan saldo sampai ratus juta hilang otomatis tidak tanggung,negative
sekarang banget,neutral
fitur batal transaksi tidak transaksi jalan lancar salah nomor salah pasu nomor rek dllsangat salapor pusat bantu jawab solusi juga begitu ajagimana suruh hubung nomor guna nomor telepon tidak aktif transaksi hasil,negative
isi saldo hasil,positive
oke pakai,positive
pakai unduh klik tidak masuk apa kali coba hasil tetap maaf langsung uninstall,positive
apikasi mantap,positive
saldo saya hilang padahal masih banyak masih,negative
sangan bantu,negative
tidak paham,negative
tapi saldo tidak masuk,negative
cs respon email ganti kartu enggak jelas,neutral
suka banget aplikasi ples layan,negative
rekening keluarga tunggu tingkat fitur,positive
jelek lemot menarik butuh menunggu hapus iki,negative
susah banget malas,negative
bagus aplikasi,negative
puas tahan pajak,negative
layan kompolen buruk,negative
memang mantap kirim bagus,positive
mantap terimakasih,positive
cih upload dokumen tambah kirim gagal benerin kesel pakai cepat,negative
saya masuk,negative
dajjal,neutral
kirim gagal,negative
unduh,neutral
untuku pakai puas bintang,positive
kirim lemot tidak pencet rekeningkirim sebal,negative
mohon akun tombol kirim akun,negative
akun makas,neutral
isi saldo saldo memenambah memenambah bngst,positive
transaksi administrasi bantu,positive
bantu praktis,positive
ampas lapor lemot banget,negative
mantap tingkat kalau upgrade saja,positive
bagus banget praktis,positive
pelayananya lambat,positive
babi kirim tidak masuk masuk,negative
saldo hilang cek transaksi google transaksi apa kembali minggu proses hasil pakai tidak guna kembali,positive
bisnis hilang mohonkan saldo saya,positive
langkah proses gagal,positive
kesini sampah sistem lemot saldo hilang maaf pilih paling,negative
akunmasuk salah ganti,negative
tolong baik erorrr kecewa,neutral
kesini burukbukan tingkat kualitas burukuang kadang sampailemotbug,positive
cepat praktis,positive
memang oke,positive
asa motong kecewa ancrit,positive
tarik saldo bisnis ttapi ngestuck konfirmasi tetap tidak bisa pepek,positive
punyaa isi kacau tidak kayak,negative
parahhh kesini percaya transaksi potong saldo masuk rek tuju coba lapor minggu tanggap tlpn suruh tunggu tolong baca tindak lanjut lapor danaeror,positive
simplecepattidak rumit,negative
jadi eenggak masuk butuh banget dengan eenggak bisa karena saldo tidak masuk sampai kapan,negative
oke banget bantu,positive
dana bagus,positive
guna mohon bantuanya tidak aplikasi update mohon bantu saldo apknya tidak buka,negative
lumayan bagus mudah transaksi,positive
bagus tingkat,negative
kendala bantu mudah transaksi,positive
tidak install,negative
terimakasih kembali saldo potong isi pulsa gagal butuh bukti amanah semoga depan,negative
bantu transaksi bayar mentrasfer,positive
oke keren,positive
mantap bantu,positive
lupa blokir makan email layan bagus unistallllllllllllll,negative
woi kalau enggak usah ana anjg pepek langsung pakai wajah gituhrs ana terus,negative
sangst bagus bantu,negative
lebaraaannnn,neutral
oke amanah praktis mudah,positive
makinnn jelek komplen memenunggu menit pas buka suruh memenunggu tolong pindah,negative
transaksi mudah gampang,positive
pas lupa kendala,positive
aku suka kalau transaksi,positive
sudah guna pas logout tidak tolong jelas sudah guna kenapa tidak saya logout aduh,negative
transaksi hasil masuk rekening tuju ampas kacau servernya,negative
asu,neutral
alhamdulillah bantu,positive
kenpa susah pakai,negative
lemot enggak jelas,negative
mohon benar contoh akun masuk masuk handphone,negative
solusi gampang saat listrik mati malam,positive
aneh saldo bayar terabox tidak beli masang handphone tidak begitu bantu kembali tidak respon sampai menyesal downloadnya ganti lai,negative
bantu uang transaksi apa,neutral
alam buruk,negative
tolong biar kendala midah,negative
kno su tidak bisa buks,negative
bagus anjenng,negative
transaksi kirim cepat tidak ribet,negative
rawan hilang,negative
buruk,negative
baik lola banget lodig masuk,positive
tidak gunadi tidak,negative
transaksi mudah memang lemoty baik servernya alat transaksi lemot ini,positive
beli dukung bayar transaksi muncul aneh kesel bukanny bagus mengaco,negative
mantap pokok,positive
kirim baik,positive
bayar ketahuiitu nama pemcurian,negative
telepon,neutral
thrrkuuu,neutral
kacau katidak masuk akun tidak jlas,negative
errorsudah henti,negative
nicee,neutral
puas hasil,positive
lemot banget mengesalkan peke terus isi pulsa tidak pakai kalau buka curi saldo tolong baik,negative
proses kirimminta tunggu proses kirim jadi capek buat lapor tanggap balasbot,positive
bagus hasil,positive
bantu transaksi apa terimakasih kerjasamanya layan,positive
tuju saldo potong saya tidak transaksi,negative
bohong saldo ku kuras kamaaf bintang kecewa,negative
transaksi kirim email tolong tindak lanjut,positive
akun masuk saldo kembali masuk akun tangal sampai masuk masuk,negative
kesini cs enggak jelas tidak bisa bantu milik fitur mana butuh bantu tangan cepat,negative
tipu saldo tanggal nyata gagal kembali tapi sekarang belum tipu,negative
masih,neutral
ig,neutral
malam sistem,negative
nomer benar nomer temu aneh banget,neutral
pakai aplikasiaplikasi jelekbalikin gwsabanget isi saldo dab tidak masuk saldonyauninstall angus,negative
kak urus semu keluh boleh saldo hilang tolong sistem baik rantas perhati,negative
guud,neutral
kirim mudah,positive
rcti oke,positive
bagus bantu cuman tingkat aman tari otomatis tipuhasil tipu guna,positive
bagus aman aman saran fitur nya membanyaki,negative
akun pindah bisnis isi salah terus isi,negative
enggak tanggung keluh responya,negative
email lanjut,negative
mohon jelas versi baru pas tidak,negative
baiksekali,neutral
sumo saldo rekening lemot tidak bisa buka kecewa saya,negative
isi ulang emoney potong saldo emoney tambah kembaliy,neutral
mohon benerin napanamany tidak,negative
buruk sistem aman mudah bobol saldo tibatiba potong tahu langsung tuju,negative
tolong daftar bisanomor handphone daftar akun mana terblokirsoalnya daftar paket nomor handphone langsung akun pakaipadahal nomor daftar tolong bantu,negative
bagus tolong kak handphone deteksi dong solusi,negative
akun tibatiba sendiri masuky kah saldo hilang akun resmi tipu sihy masik sisa ghi semua bukti tibaakun isi saldo masik ss bukti saat aju bantu dari admin akun gagal respon baru daftar begini,negative
kirim uang untuk lebaran,neutral
mohon baik kembalikarna saat loginalah lagidan isi tuju transfer tidak masuk tuju tolong baik guna nyaman tampa kendala apa,negative
mantap mudah,positive
buat rugi saldo lenyap habis banget dan tanggung jawab,negative
transaksi mudah murah biaya admin,positive
bagus lemot lemot,negative
akuj hilang nomor email kecewa,negative
lemot inet oke,negative
isi saldo potong rp tidak bayar sedang isi saldo konter nak harga rp kacau tolong baik terima kasih,negative
baik lagi aplikasi,negative
mantap aplikasi,positive
buruk tibatiba hilang,negative
tingkat kualitas,positive
bos kenapa saya dapat buka,neutral
dompet busuk suuu,negative
goooooodddddd,neutral
sanfat bsik,neutral
korupsi saldo hilang aman bobol,negative
guna ok banget,positive
kasih sukses dikirimtapi masuk hilang kode kirim deteksi terus aneh,positive
alhamdulilah pakai tarik saldo jadi mudah,positive
senang akun,positive
diupdate,neutral
lancar jaya,positive
tolong balikin,negative
maaf burukuntuk transaksi louding gagal,negative
eror tolong dong baik,negative
mantap pakak,positive
akun tidak apdet versi premiumpadahan sarat sudah penuhinsaya ulang jtidak tidak tolong bantu,negative
manfaat bagus aman trpecaya,positive
berani tampil beda mana,negative
tidak akses suka fors terus buka kecewa banget,negative
bagus nyaman,positive
aman sistem buruk saldo kakak nila hialang lenyap sisa tanggap aplikator solusi tunggu tunggu,negative
admin kerja layan benarmah,negative
bagus lambat,negative
lumayan bantu,negative
buka lemot tolong baik,negative
babi tolong baik masuk tidak,negative
transksi hasil masuk rekening tuju suruh admin cuman tunggu pesan terima sampai saldo mana cuman sabar tunggu karena tidak konfirmasi saldo saldo,positive
gagal,negative
akun saya buka mana saya,negative
masok,neutral
akun pakai mohon jelas admin,negative
bagus ribet,negative
mantaaaf,neutral
semoga kayak,negative
verivikasi sudah pinjol,positive
pencu,neutral
kesini buruk lupa hubung ana respon muas wajah gilir transfer wajah melainkankanlupa parah,negative
transanksi online,neutral
kecewa saldo kirim rekening,positive
saya raib kemanain isi tanggal sampai sekarang belum jwbn cs muas sabar,negative
banget padahal sudah masuk tinggal stican wajah susah banget terus gilir ulang tidak bisa benar benar kecewa,negative
tibatiba dimasukkin salah benarkenapa,negative
mantap,neutral
keren mudah transaksi,positive
komplain,neutral
kenapa tidak bisa buka dana,negative
semprna,neutral
pakai uplikasi buat akun sulit ampun sharat malas pakai uplikasi,negative
aman aman,neutral
lemot saran ui sering handphone kentang abad buka aplikasi beli niat transaksi ubah pikir distuck saldo,negative
koin ok koin kasih mintang,positive
akun sulit mohon atas,negative
puas gampang transaksi bayar,positive
gooddff,neutral
gampang beku akun,positive
ktp tidak babi,negative
tolong sudah lewat terus kirim kendaala pusat bantu tidak blsan terus sudah laporin tidak respon admin santai respon begitu terus tidak guna fitur puusat bantu tidak respon selesai,negative
cacat sedot isi ulang emoney eh tidak tindak lanjut respon asli buat konsumen bawa kabur,negative
mantaby,neutral
sangat puas menggunakn,positive
ok bro,positive
mebantu bayar instan,negative
aman ngalamin saldo kurang transaksi apa teryata bayar google langgan begitu padahal ku cek google langgan samasekali google bayar punyakuu,negative
matullll,neutral
sukah,neutral
mantap respon cepat,positive
bantu transfer,negative
maaf pinjem juta situ telepon pinjama juta situ bilang suruh toapa bilang bilang langsung toapa akun otp handphone saldo tarik bilang jamin situ akun langsung blok langsung ganti toapa apa lagi kawan,positive
kenapah ganggu suah,negative
bagus aman,negative
oke transfer cepat,positive
samakin lemot ganggu,negative
rekomendasi,neutral
bagus jenis butuh mudah negosiasi butuh,negative
mudah kirim terima,positive
alas nomor guna,positive
memmbantu,neutral
jaring pdahl bagus tapi pas buka lemottolong admin baik terima kasih,positive
sekarang tidak lagi utransfer,negative
hubungijadi salah tipu langsung tindak lanjutjngan cuman layan nyatingkatkan kramanan nyasudahh banyak sadlo akun hilang,negative
bagus aman percaya,neutral
enggak buka sudah,positive
susah sih,negative
ngebug tes,neutral
bagus,negative
sukasi fitur ajar mudah anak sekolah,positive
aihhh kecewa tibhati hatiba potong tahu bishabisanya hati hatit hati hati hati hatittttt,negative
kas bintang,neutral
bagus mahal harga listrik kalau jual,positive
hatihati coba ngehack ciri transaksi telepon nomer negeri selesai transaksi verifikasi wajah bintang kurang cs,positive
tarik saldo bisnis tidak,positive
terima kasih bantu dengan memper mudah kirim terima uwang dengan mudah aman,positive
goodtm,neutral
mntapy,neutral
mantap nabung,positive
semenjak isi saldo potong pajak apa coba,negative
sangatt digunakn,neutral
akurat,neutral
dana sama sudah dari siang coba,positive
kga anjg tim sudah lapor kga selesai kga saldo kga ajg,negative
okedan trimaksih sangat bantu saya transaksi,negative
snngat,neutral
cepat percaya,positive
aplikasi bagus cuman beli pulsa kembali uangrefund butuh mohon beli pulsa kembali uangrefund cepat,negative
tolong hapus,negative
tidak saya ribet tidak kecewa,negative
hilang saldo nila rp,positive
kasih bintang karena,negative
kecewa saldo hilang pulsa tidak masuk balasanya,negative
kacau isi saldo masuk masuk minggu tolong baik proses,neutral
diupgrade responkepusat bantu riwayat tetap,positive
kesini semakin ribet biar,negative
sangaat bantu,negative
masalah saldo bisnis tarikbegitu lapor konfirmasi,positive
tidak buka aplikasi bagaimana transfer rek,negative
bintang karena pas isi pulsa teman ku gagal mohon baik,negative
hilang cuy,negative
rekomen mantap,positive
lumayan bagus semoga aman amanah,positive
lemot transaksi kirim saldo lemot masuk aplikasituju susah nyarinya tidak baca pokok kecewa,negative
kenapa versi baru,neutral
sampahghabisa masuk awas tipu,positive
baik kecepatane kakak,positive
alhmdulilah semenjak pakai transaksi lancar,positive
okebingit,neutral
bantu transaksi terima kasih ya muda,positive
tidak fitur paylater akun,negative
banget ambil bayar google berlangganansekali hilang atas,negative
transaksi mana tidak,negative
lemot isi tolong bags tolong baik,negative
tidak prem,negative
pakai asik mudah upsaldotapi disini lalu transaksi tidak muncul paylater akun,positive
transaksi beli pulsa gagal saldo lapor chatemail sampai dm sosmed juga nanggapin balikin saldo,neutral
kenap tidak,negative
terimakasih mudah transaksi dalam transaksi jadi gampang mudah,positive
tidak buka kakak,negative
kenpa bayarmasuk qris dproses kemarin,negative
aman percaya,positive
sudahversi baru updatemalah bisa bukako bobrok,negative
kocak potong forma turun,negative
sangat dukung,positive
mantap,positive
bintang,negative
susah daftar,negative
bagus transaksi tapi kadang kadang aplikasi macet buka saldo kadang lemot tapi suka sama,positive
bagus benr bantu,negative
astaghirullah sebel banget biar transfer susah ampun ktp banget foto selfi foto sesuai ktp tetap tambah kirim tambah gagaaaal teruuus sampai uninstal,positive
ngelaq,neutral
bagus bantu semoga lebih,negative
dompet ok,positive
mudah ribet pakai,negative
gilir butuhin erorlemot,neutral
senang mudah transaksi suka,positive
coba payleterny,positive
